sale_date,sale_year,sale_month,quarter_label,week_start,day_type,channel,total_transactions,total_units,total_revenue,gross_revenue,total_delivery_income,total_returns,total_refunds,return_rate_pct,event_day_txns,avg_order_value
2023-01-12,2023,1,Q1 2023,2023-01-09 00:00:00.000,Weekday,Online,1019,1019,8382727.00,7896227.00,509500,46,343054.00,4.51,1019,8226.420000
2023-01-13,2023,1,Q1 2023,2023-01-09 00:00:00.000,Weekday,In-Store,2362,2362,18211955.00,18211955.00,0,117,912183.00,4.95,2362,7710.400000
2023-01-13,2023,1,Q1 2023,2023-01-09 00:00:00.000,Weekday,Online,1069,1069,9135479.00,8624979.00,534500,48,422952.00,4.49,1069,8545.820000
2023-01-14,2023,1,Q1 2023,2023-01-09 00:00:00.000,Weekend,In-Store,2431,2431,18836791.00,18836791.00,0,122,1047278.00,5.02,2431,7748.580000
2023-01-14,2023,1,Q1 2023,2023-01-09 00:00:00.000,Weekend,Online,1006,1006,8047455.00,7574955.00,503000,61,495339.00,6.06,1006,7999.460000
2023-01-15,2023,1,Q1 2023,2023-01-16 00:00:00.000,Weekend,In-Store,2357,2357,19405841.00,19405841.00,0,98,848202.00,4.16,2357,8233.280000
2023-01-15,2023,1,Q1 2023,2023-01-16 00:00:00.000,Weekend,Online,1029,1029,8160933.00,7677433.00,514500,62,432538.00,6.03,1029,7930.940000
2023-01-16,2023,1,Q1 2023,2023-01-16 00:00:00.000,Weekday,In-Store,2443,2443,18857299.00,18857299.00,0,142,1108058.00,5.81,0,7718.910000
2023-01-16,2023,1,Q1 2023,2023-01-16 00:00:00.000,Weekday,Online,1054,1054,8586497.00,8084997.00,527000,51,439049.00,4.84,0,8146.580000
2023-01-17,2023,1,Q1 2023,2023-01-16 00:00:00.000,Weekday,In-Store,2426,2426,18759109.00,18759109.00,0,135,1039965.00,5.56,0,7732.530000
2023-01-17,2023,1,Q1 2023,2023-01-16 00:00:00.000,Weekday,Online,1039,1039,8582505.00,8085005.00,519500,44,263456.00,4.23,0,8260.350000
2023-01-18,2023,1,Q1 2023,2023-01-16 00:00:00.000,Weekday,In-Store,2445,2445,18430295.00,18430295.00,0,140,1164460.00,5.73,0,7537.950000
2023-01-18,2023,1,Q1 2023,2023-01-16 00:00:00.000,Weekday,Online,1050,1050,8830910.00,8335910.00,525000,60,475640.00,5.71,0,8410.390000
2023-01-19,2023,1,Q1 2023,2023-01-16 00:00:00.000,Weekday,In-Store,2475,2475,19454033.00,19454033.00,0,108,960992.00,4.36,0,7860.220000
2023-01-19,2023,1,Q1 2023,2023-01-16 00:00:00.000,Weekday,Online,1040,1040,8429012.00,7935012.00,520000,52,396248.00,5,0,8104.820000
2023-01-20,2023,1,Q1 2023,2023-01-16 00:00:00.000,Weekday,In-Store,2393,2393,18378337.00,18378337.00,0,130,1122870.00,5.43,0,7680.040000
2023-01-20,2023,1,Q1 2023,2023-01-16 00:00:00.000,Weekday,Online,1050,1050,8814397.00,8312897.00,525000,47,393853.00,4.48,0,8394.660000
2023-01-21,2023,1,Q1 2023,2023-01-16 00:00:00.000,Weekend,In-Store,2466,2466,19063269.00,19063269.00,0,135,1102565.00,5.47,0,7730.440000
2023-01-21,2023,1,Q1 2023,2023-01-16 00:00:00.000,Weekend,Online,1081,1081,8949964.00,8431964.00,540500,45,350555.00,4.16,0,8279.340000
2023-01-22,2023,1,Q1 2023,2023-01-23 00:00:00.000,Weekend,In-Store,2464,2464,19048463.00,19048463.00,0,127,1087273.00,5.15,0,7730.710000
2023-01-22,2023,1,Q1 2023,2023-01-23 00:00:00.000,Weekend,Online,1033,1033,8649418.00,8158418.00,516500,51,396449.00,4.94,0,8373.110000
2023-01-23,2023,1,Q1 2023,2023-01-23 00:00:00.000,Weekday,In-Store,2452,2452,19233557.00,19233557.00,0,109,940291.00,4.45,0,7844.030000
2023-01-23,2023,1,Q1 2023,2023-01-23 00:00:00.000,Weekday,Online,1001,1001,8422345.00,7944845.00,500500,46,337354.00,4.6,0,8413.930000
2023-01-24,2023,1,Q1 2023,2023-01-23 00:00:00.000,Weekday,In-Store,2336,2336,18554276.00,18554276.00,0,112,862588.00,4.79,0,7942.760000
2023-01-24,2023,1,Q1 2023,2023-01-23 00:00:00.000,Weekday,Online,980,980,8204465.00,7736965.00,490000,45,345855.00,4.59,0,8371.900000
2023-01-25,2023,1,Q1 2023,2023-01-23 00:00:00.000,Weekday,In-Store,2473,2473,19024955.00,19024955.00,0,128,1182572.00,5.18,0,7693.070000
2023-01-25,2023,1,Q1 2023,2023-01-23 00:00:00.000,Weekday,Online,992,992,8121063.00,7652563.00,496000,55,416545.00,5.54,0,8186.560000
2023-01-26,2023,1,Q1 2023,2023-01-23 00:00:00.000,Weekday,In-Store,2468,2468,19141761.00,19141761.00,0,129,1073871.00,5.23,0,7755.980000
2023-01-26,2023,1,Q1 2023,2023-01-23 00:00:00.000,Weekday,Online,1065,1065,9066379.00,8555879.00,532500,44,351656.00,4.13,0,8513.030000
2023-01-27,2023,1,Q1 2023,2023-01-23 00:00:00.000,Weekday,In-Store,2380,2380,18917522.00,18917522.00,0,102,868598.00,4.29,0,7948.540000
2023-01-27,2023,1,Q1 2023,2023-01-23 00:00:00.000,Weekday,Online,1077,1077,8568688.00,8062688.00,538500,65,474835.00,6.04,0,7956.070000
2023-01-28,2023,1,Q1 2023,2023-01-23 00:00:00.000,Weekend,In-Store,2452,2452,18805667.00,18805667.00,0,119,916381.00,4.85,0,7669.520000
2023-01-28,2023,1,Q1 2023,2023-01-23 00:00:00.000,Weekend,Online,1038,1038,8575909.00,8080409.00,519000,47,434653.00,4.53,0,8261.950000
2023-01-29,2023,1,Q1 2023,2023-01-30 00:00:00.000,Weekend,In-Store,2420,2420,18816706.00,18816706.00,0,126,1116974.00,5.21,0,7775.500000
2023-01-29,2023,1,Q1 2023,2023-01-30 00:00:00.000,Weekend,Online,1073,1073,8606682.00,8097682.00,536500,55,474645.00,5.13,0,8021.140000
2023-01-30,2023,1,Q1 2023,2023-01-30 00:00:00.000,Weekday,In-Store,2418,2418,18727510.00,18727510.00,0,128,1019372.00,5.29,0,7745.040000
2023-01-30,2023,1,Q1 2023,2023-01-30 00:00:00.000,Weekday,Online,1066,1066,8838084.00,8330084.00,533000,50,419150.00,4.69,0,8290.890000
2023-01-31,2023,1,Q1 2023,2023-01-30 00:00:00.000,Weekday,In-Store,2475,2475,19413652.00,19413652.00,0,127,1066673.00,5.13,0,7843.900000
2023-01-31,2023,1,Q1 2023,2023-01-30 00:00:00.000,Weekday,Online,960,960,8005888.00,7549888.00,480000,48,393452.00,5,0,8339.470000
2023-02-01,2023,2,Q1 2023,2023-01-30 00:00:00.000,Weekday,In-Store,2444,2444,18716789.00,18716789.00,0,133,1033067.00,5.44,0,7658.260000
2023-02-01,2023,2,Q1 2023,2023-01-30 00:00:00.000,Weekday,Online,1005,1005,8522037.00,8040537.00,502500,42,305858.00,4.18,0,8479.640000
2023-02-02,2023,2,Q1 2023,2023-01-30 00:00:00.000,Weekday,In-Store,2447,2447,19046776.00,19046776.00,0,123,979677.00,5.03,0,7783.730000
2023-02-02,2023,2,Q1 2023,2023-01-30 00:00:00.000,Weekday,Online,1071,1071,8745677.00,8234177.00,535500,48,379752.00,4.48,0,8165.900000
2023-02-03,2023,2,Q1 2023,2023-01-30 00:00:00.000,Weekday,In-Store,2359,2359,17849553.00,17849553.00,0,112,1054688.00,4.75,0,7566.580000
2023-02-03,2023,2,Q1 2023,2023-01-30 00:00:00.000,Weekday,Online,1032,1032,8333118.00,7842118.00,516000,50,359250.00,4.84,0,8074.730000
2023-02-04,2023,2,Q1 2023,2023-01-30 00:00:00.000,Weekend,In-Store,2326,2326,18373092.00,18373092.00,0,118,946682.00,5.07,0,7899.010000
2023-02-04,2023,2,Q1 2023,2023-01-30 00:00:00.000,Weekend,Online,1033,1033,8458623.00,7970123.00,516500,56,501944.00,5.42,0,8188.410000
2023-02-05,2023,2,Q1 2023,2023-02-06 00:00:00.000,Weekend,In-Store,2467,2467,18828474.00,18828474.00,0,141,1059259.00,5.72,0,7632.130000
2023-02-05,2023,2,Q1 2023,2023-02-06 00:00:00.000,Weekend,Online,1061,1061,8456694.00,7953694.00,530500,55,452645.00,5.18,0,7970.490000
2023-02-06,2023,2,Q1 2023,2023-02-06 00:00:00.000,Weekday,In-Store,2416,2416,18083525.00,18083525.00,0,141,1111859.00,5.84,0,7484.900000
2023-02-06,2023,2,Q1 2023,2023-02-06 00:00:00.000,Weekday,Online,1030,1030,8343416.00,7851416.00,515000,46,335354.00,4.47,0,8100.400000
2023-02-07,2023,2,Q1 2023,2023-02-06 00:00:00.000,Weekday,In-Store,2479,2479,19462533.00,19462533.00,0,112,933988.00,4.52,0,7850.960000
2023-02-07,2023,2,Q1 2023,2023-02-06 00:00:00.000,Weekday,Online,988,988,8173063.00,7704563.00,494000,51,416049.00,5.16,0,8272.330000
2023-02-08,2023,2,Q1 2023,2023-02-06 00:00:00.000,Weekday,In-Store,2352,2352,18097772.00,18097772.00,0,124,1101176.00,5.27,0,7694.630000
2023-02-08,2023,2,Q1 2023,2023-02-06 00:00:00.000,Weekday,Online,976,976,7994180.00,7534180.00,488000,56,368744.00,5.74,0,8190.760000
2023-02-09,2023,2,Q1 2023,2023-02-06 00:00:00.000,Weekday,In-Store,2342,2342,17594185.00,17594185.00,0,127,1044173.00,5.42,0,7512.460000
2023-02-09,2023,2,Q1 2023,2023-02-06 00:00:00.000,Weekday,Online,1066,1066,8477896.00,7975896.00,533000,62,427438.00,5.82,0,7953.000000
2023-02-10,2023,2,Q1 2023,2023-02-06 00:00:00.000,Weekday,In-Store,2383,2383,18662833.00,18662833.00,0,116,913784.00,4.87,0,7831.650000
2023-02-10,2023,2,Q1 2023,2023-02-06 00:00:00.000,Weekday,Online,1070,1070,9089685.00,8582185.00,535000,55,443645.00,5.14,0,8495.030000
2023-02-11,2023,2,Q1 2023,2023-02-06 00:00:00.000,Weekend,In-Store,2399,2399,18305716.00,18305716.00,0,115,913885.00,4.79,0,7630.560000
2023-02-11,2023,2,Q1 2023,2023-02-06 00:00:00.000,Weekend,Online,1003,1003,8457939.00,7977439.00,501500,42,376658.00,4.19,0,8432.640000
2023-02-12,2023,2,Q1 2023,2023-02-13 00:00:00.000,Weekend,In-Store,2426,2426,18080410.00,18080410.00,0,136,998964.00,5.61,0,7452.770000
2023-02-12,2023,2,Q1 2023,2023-02-13 00:00:00.000,Weekend,Online,974,974,8001481.00,7541981.00,487000,55,393345.00,5.65,0,8215.070000
2023-02-13,2023,2,Q1 2023,2023-02-13 00:00:00.000,Weekday,In-Store,2453,2453,19745058.00,19745058.00,0,111,804789.00,4.53,0,8049.350000
2023-02-13,2023,2,Q1 2023,2023-02-13 00:00:00.000,Weekday,Online,1010,1010,8340942.00,7861942.00,505000,52,447948.00,5.15,0,8258.360000
2023-02-14,2023,2,Q1 2023,2023-02-13 00:00:00.000,Weekday,In-Store,2418,2418,18610509.00,18610509.00,0,127,1021773.00,5.25,0,7696.650000
2023-02-14,2023,2,Q1 2023,2023-02-13 00:00:00.000,Weekday,Online,1049,1049,8771500.00,8271500.00,524500,49,402551.00,4.67,0,8361.770000
2023-02-15,2023,2,Q1 2023,2023-02-13 00:00:00.000,Weekday,In-Store,2384,2384,18783546.00,18783546.00,0,130,1092770.00,5.45,0,7879.000000
2023-02-15,2023,2,Q1 2023,2023-02-13 00:00:00.000,Weekday,Online,1035,1035,8627014.00,8134014.00,517500,49,439651.00,4.73,0,8335.280000
2023-02-16,2023,2,Q1 2023,2023-02-13 00:00:00.000,Weekday,In-Store,2468,2468,19839466.00,19839466.00,0,134,1058066.00,5.43,0,8038.680000
2023-02-16,2023,2,Q1 2023,2023-02-13 00:00:00.000,Weekday,Online,1044,1044,8495018.00,8004018.00,522000,62,558038.00,5.94,0,8136.990000
2023-02-17,2023,2,Q1 2023,2023-02-13 00:00:00.000,Weekday,In-Store,2385,2385,18709321.00,18709321.00,0,106,807994.00,4.44,0,7844.580000
2023-02-17,2023,2,Q1 2023,2023-02-13 00:00:00.000,Weekday,Online,1032,1032,8377918.00,7886918.00,516000,50,452750.00,4.84,0,8118.140000
2023-02-18,2023,2,Q1 2023,2023-02-13 00:00:00.000,Weekend,In-Store,2484,2484,19493736.00,19493736.00,0,120,1016180.00,4.83,0,7847.720000
2023-02-18,2023,2,Q1 2023,2023-02-13 00:00:00.000,Weekend,Online,965,965,7971581.00,7512081.00,482500,46,342154.00,4.77,0,8260.710000
2023-02-19,2023,2,Q1 2023,2023-02-20 00:00:00.000,Weekend,In-Store,2380,2380,18757755.00,18757755.00,0,135,1060165.00,5.67,0,7881.410000
2023-02-19,2023,2,Q1 2023,2023-02-20 00:00:00.000,Weekend,Online,1064,1064,8953190.00,8448190.00,532000,54,412046.00,5.08,0,8414.650000
2023-02-20,2023,2,Q1 2023,2023-02-20 00:00:00.000,Weekday,In-Store,2480,2480,19104056.00,19104056.00,0,136,984864.00,5.48,0,7703.250000
2023-02-20,2023,2,Q1 2023,2023-02-20 00:00:00.000,Weekday,Online,1109,1109,8939935.00,8407435.00,554500,44,403656.00,3.97,0,8061.260000
2023-02-21,2023,2,Q1 2023,2023-02-20 00:00:00.000,Weekday,In-Store,2356,2356,18183648.00,18183648.00,0,104,787896.00,4.41,0,7718.020000
2023-02-21,2023,2,Q1 2023,2023-02-20 00:00:00.000,Weekday,Online,1015,1015,8603142.00,8124142.00,507500,57,508043.00,5.62,0,8476.000000
2023-02-22,2023,2,Q1 2023,2023-02-20 00:00:00.000,Weekday,In-Store,2332,2332,17923883.00,17923883.00,0,115,1018285.00,4.93,0,7686.060000
2023-02-22,2023,2,Q1 2023,2023-02-20 00:00:00.000,Weekday,Online,1084,1084,9103374.00,8590374.00,542000,58,392442.00,5.35,0,8397.950000
2023-02-23,2023,2,Q1 2023,2023-02-20 00:00:00.000,Weekday,In-Store,2347,2347,18839758.00,18839758.00,0,105,915795.00,4.47,0,8027.170000
2023-02-23,2023,2,Q1 2023,2023-02-20 00:00:00.000,Weekday,Online,952,952,7669106.00,7222106.00,476000,58,483842.00,6.09,0,8055.780000
2023-02-24,2023,2,Q1 2023,2023-02-20 00:00:00.000,Weekday,In-Store,2444,2444,19225487.00,19225487.00,0,131,1043669.00,5.36,0,7866.400000
2023-02-24,2023,2,Q1 2023,2023-02-20 00:00:00.000,Weekday,Online,1025,1025,8302122.00,7813122.00,512500,47,416953.00,4.59,0,8099.630000
2023-02-25,2023,2,Q1 2023,2023-02-20 00:00:00.000,Weekend,In-Store,2399,2399,18908932.00,18908932.00,0,131,1048569.00,5.46,0,7882.010000
2023-02-25,2023,2,Q1 2023,2023-02-20 00:00:00.000,Weekend,Online,1017,1017,8272419.00,7781919.00,508500,36,204564.00,3.54,0,8134.140000
2023-02-26,2023,2,Q1 2023,2023-02-27 00:00:00.000,Weekend,In-Store,2379,2379,18016637.00,18016637.00,0,116,961084.00,4.88,0,7573.200000
2023-02-26,2023,2,Q1 2023,2023-02-27 00:00:00.000,Weekend,Online,984,984,8001169.00,7535669.00,492000,53,463347.00,5.39,0,8131.270000
2023-02-27,2023,2,Q1 2023,2023-02-27 00:00:00.000,Weekday,In-Store,2394,2394,18504341.00,18504341.00,0,135,1235665.00,5.64,0,7729.470000
2023-02-27,2023,2,Q1 2023,2023-02-27 00:00:00.000,Weekday,Online,1069,1069,8841490.00,8336490.00,534500,59,395141.00,5.52,0,8270.800000
2023-02-28,2023,2,Q1 2023,2023-02-27 00:00:00.000,Weekday,In-Store,2435,2435,19340184.00,19340184.00,0,119,988281.00,4.89,0,7942.580000
2023-02-28,2023,2,Q1 2023,2023-02-27 00:00:00.000,Weekday,Online,1053,1053,8927487.00,8420987.00,526500,40,300960.00,3.8,0,8478.150000
2023-03-01,2023,3,Q1 2023,2023-02-27 00:00:00.000,Weekday,In-Store,2328,2328,17942196.00,17942196.00,0,124,960676.00,5.33,0,7707.130000
2023-03-01,2023,3,Q1 2023,2023-02-27 00:00:00.000,Weekday,Online,1004,1004,8217040.00,7737040.00,502000,44,320656.00,4.38,0,8184.300000
2023-03-02,2023,3,Q1 2023,2023-02-27 00:00:00.000,Weekday,In-Store,2406,2406,18730397.00,18730397.00,0,103,787397.00,4.28,0,7784.870000
2023-03-02,2023,3,Q1 2023,2023-02-27 00:00:00.000,Weekday,Online,1059,1059,8816500.00,8316500.00,529500,59,479341.00,5.57,0,8325.310000
2023-03-03,2023,3,Q1 2023,2023-02-27 00:00:00.000,Weekday,In-Store,2367,2367,18711045.00,18711045.00,0,112,886488.00,4.73,0,7904.960000
2023-03-03,2023,3,Q1 2023,2023-02-27 00:00:00.000,Weekday,Online,1030,1030,8299318.00,7808318.00,515000,48,380452.00,4.66,0,8057.590000
2023-03-04,2023,3,Q1 2023,2023-02-27 00:00:00.000,Weekend,In-Store,2455,2455,18875687.00,18875687.00,0,142,1029658.00,5.78,0,7688.670000
2023-03-04,2023,3,Q1 2023,2023-02-27 00:00:00.000,Weekend,Online,1007,1007,8257340.00,7777340.00,503500,47,434153.00,4.67,0,8199.940000
2023-03-05,2023,3,Q1 2023,2023-03-06 00:00:00.000,Weekend,In-Store,2376,2376,18549450.00,18549450.00,0,126,1038474.00,5.3,0,7807.010000
2023-03-05,2023,3,Q1 2023,2023-03-06 00:00:00.000,Weekend,Online,1036,1036,8206211.00,7711711.00,518000,47,374253.00,4.54,0,7921.050000
2023-03-06,2023,3,Q1 2023,2023-03-06 00:00:00.000,Weekday,In-Store,2405,2405,18456421.00,18456421.00,0,126,943574.00,5.24,0,7674.190000
2023-03-06,2023,3,Q1 2023,2023-03-06 00:00:00.000,Weekday,Online,1025,1025,8485930.00,8000930.00,512500,55,435845.00,5.37,0,8278.960000
2023-03-07,2023,3,Q1 2023,2023-03-06 00:00:00.000,Weekday,In-Store,2371,2371,18105847.00,18105847.00,0,118,1004382.00,4.98,0,7636.380000
2023-03-07,2023,3,Q1 2023,2023-03-06 00:00:00.000,Weekday,Online,966,966,8204678.00,7743678.00,483000,44,305356.00,4.55,0,8493.460000
2023-03-08,2023,3,Q1 2023,2023-03-06 00:00:00.000,Weekday,In-Store,2374,2374,18115165.00,18115165.00,0,139,1104761.00,5.86,0,7630.650000
2023-03-08,2023,3,Q1 2023,2023-03-06 00:00:00.000,Weekday,Online,1049,1049,8699006.00,8202006.00,524500,55,442445.00,5.24,0,8292.670000
2023-03-09,2023,3,Q1 2023,2023-03-06 00:00:00.000,Weekday,In-Store,2415,2415,18420017.00,18420017.00,0,132,1050868.00,5.47,0,7627.340000
2023-03-09,2023,3,Q1 2023,2023-03-06 00:00:00.000,Weekday,Online,1057,1057,8656491.00,8151991.00,528500,48,435552.00,4.54,0,8189.680000
2023-03-10,2023,3,Q1 2023,2023-03-06 00:00:00.000,Weekday,In-Store,2378,2378,18123754.00,18123754.00,0,132,1085468.00,5.55,0,7621.430000
2023-03-10,2023,3,Q1 2023,2023-03-06 00:00:00.000,Weekday,Online,998,998,8167741.00,7688241.00,499000,39,321461.00,3.91,0,8184.110000
2023-03-11,2023,3,Q1 2023,2023-03-06 00:00:00.000,Weekend,In-Store,2489,2489,19155930.00,19155930.00,0,119,941881.00,4.78,0,7696.240000
2023-03-11,2023,3,Q1 2023,2023-03-06 00:00:00.000,Weekend,Online,1001,1001,8260950.00,7785950.00,500500,51,421949.00,5.09,0,8252.700000
2023-03-12,2023,3,Q1 2023,2023-03-13 00:00:00.000,Weekend,In-Store,2418,2418,19027589.00,19027589.00,0,107,863793.00,4.43,0,7869.140000
2023-03-12,2023,3,Q1 2023,2023-03-13 00:00:00.000,Weekend,Online,1007,1007,8268743.00,7790243.00,503500,50,433850.00,4.97,0,8211.260000
2023-03-13,2023,3,Q1 2023,2023-03-13 00:00:00.000,Weekday,In-Store,2457,2457,18720378.00,18720378.00,0,135,1071365.00,5.49,0,7619.200000
2023-03-13,2023,3,Q1 2023,2023-03-13 00:00:00.000,Weekday,Online,1031,1031,8201531.00,7717031.00,515500,62,564638.00,6.01,0,7954.930000
2023-03-14,2023,3,Q1 2023,2023-03-13 00:00:00.000,Weekday,In-Store,2436,2436,19115873.00,19115873.00,0,109,922391.00,4.47,0,7847.240000
2023-03-14,2023,3,Q1 2023,2023-03-13 00:00:00.000,Weekday,Online,1069,1069,9313879.00,8803379.00,534500,48,337052.00,4.49,0,8712.700000
2023-03-15,2023,3,Q1 2023,2023-03-13 00:00:00.000,Weekday,In-Store,2431,2431,19349466.00,19349466.00,0,97,737503.00,3.99,0,7959.470000
2023-03-15,2023,3,Q1 2023,2023-03-13 00:00:00.000,Weekday,Online,1067,1067,8881378.00,8370378.00,533500,45,392455.00,4.22,0,8323.690000
2023-03-16,2023,3,Q1 2023,2023-03-13 00:00:00.000,Weekday,In-Store,2431,2431,18722117.00,18722117.00,0,148,1156052.00,6.09,0,7701.410000
2023-03-16,2023,3,Q1 2023,2023-03-13 00:00:00.000,Weekday,Online,1079,1079,8806367.00,8289867.00,539500,46,341254.00,4.26,0,8161.600000
2023-03-17,2023,3,Q1 2023,2023-03-13 00:00:00.000,Weekday,In-Store,2433,2433,18953476.00,18953476.00,0,109,929891.00,4.48,0,7790.170000
2023-03-17,2023,3,Q1 2023,2023-03-13 00:00:00.000,Weekday,Online,1040,1040,8685106.00,8188106.00,520000,46,393954.00,4.42,0,8351.060000
2023-03-18,2023,3,Q1 2023,2023-03-13 00:00:00.000,Weekend,In-Store,2503,2503,19175006.00,19175006.00,0,109,892491.00,4.35,0,7660.810000
2023-03-18,2023,3,Q1 2023,2023-03-13 00:00:00.000,Weekend,Online,997,997,8227344.00,7749344.00,498500,41,342459.00,4.11,0,8252.100000
2023-03-19,2023,3,Q1 2023,2023-03-20 00:00:00.000,Weekend,In-Store,2472,2472,19159148.00,19159148.00,0,120,982680.00,4.85,0,7750.460000
2023-03-19,2023,3,Q1 2023,2023-03-20 00:00:00.000,Weekend,Online,1021,1021,8505431.00,8020931.00,510500,52,395448.00,5.09,0,8330.490000
2023-03-20,2023,3,Q1 2023,2023-03-20 00:00:00.000,Weekday,In-Store,2365,2365,18765978.00,18765978.00,0,143,1124757.00,6.05,0,7934.870000
2023-03-20,2023,3,Q1 2023,2023-03-20 00:00:00.000,Weekday,Online,1020,1020,8664924.00,8176924.00,510000,44,293156.00,4.31,0,8495.020000
2023-03-21,2023,3,Q1 2023,2023-03-20 00:00:00.000,Weekday,In-Store,2400,2400,18719217.00,18719217.00,0,117,1015883.00,4.88,0,7799.670000
2023-03-21,2023,3,Q1 2023,2023-03-20 00:00:00.000,Weekday,Online,1035,1035,8342411.00,7847911.00,517500,46,355254.00,4.44,0,8060.300000
2023-03-22,2023,3,Q1 2023,2023-03-20 00:00:00.000,Weekday,In-Store,2469,2469,18907853.00,18907853.00,0,122,987178.00,4.94,0,7658.100000
2023-03-22,2023,3,Q1 2023,2023-03-20 00:00:00.000,Weekday,Online,999,999,8368345.00,7890845.00,499500,44,286256.00,4.4,0,8376.720000
2023-03-23,2023,3,Q1 2023,2023-03-20 00:00:00.000,Weekday,In-Store,2433,2433,18617895.00,18617895.00,0,128,962172.00,5.26,2433,7652.240000
2023-03-23,2023,3,Q1 2023,2023-03-20 00:00:00.000,Weekday,Online,1033,1033,8577818.00,8086818.00,516500,51,400749.00,4.94,1033,8303.790000
2023-03-24,2023,3,Q1 2023,2023-03-20 00:00:00.000,Weekday,In-Store,2444,2444,18957677.00,18957677.00,0,121,1022379.00,4.95,2444,7756.820000
2023-03-24,2023,3,Q1 2023,2023-03-20 00:00:00.000,Weekday,Online,1052,1052,8755703.00,8257203.00,526000,55,477845.00,5.23,1052,8322.910000
